X,Y
0,0
0.25,0.05
0.5,0.072
1,0.112
1.5,0.15
2,0.188
3,0.251
4,0.303
5,0.345
6,0.376
8,0.4
10,0.39
12,0.36
14,0.304
16,0.225
18,0.126
19,0.066
20,0
