Angle of Attack [deg];Lift Coefficient Cl [-]
-1.8000000e+01;-4.5566666e-01
-1.7000000e+01;-4.6665350e-01
-1.6000000e+01;-4.9075499e-01
-1.5000000e+01;-5.3432631e-01
-1.4000000e+01;-6.0422504e-01
-1.3000000e+01;-7.0164537e-01
-1.2000000e+01;-8.0815077e-01
-1.1400000e+01;-1.0030000e+00
-1.1000000e+01;-9.9320000e-01
-1.0800000e+01;-9.7649997e-01
-1.0600000e+01;-9.5700002e-01
-1.0400000e+01;-9.3610001e-01
-1.0000000e+01;-8.9039999e-01
-9.8000002e+00;-8.6830002e-01
-9.6000004e+00;-8.4560001e-01
-9.3999996e+00;-8.2260001e-01
-9.1999998e+00;-7.9920000e-01
-9.0000000e+00;-7.7539998e-01
-8.8000002e+00;-7.5139999e-01
-8.6000004e+00;-7.2729999e-01
-8.3999996e+00;-7.0190001e-01
-8.1999998e+00;-6.5810001e-01
-8.0000000e+00;-6.3249999e-01
-7.8000002e+00;-5.4600000e-01
-7.5999999e+00;-5.2950001e-01
-7.4000001e+00;-5.2090001e-01
-7.1999998e+00;-4.9910000e-01
-7.0000000e+00;-4.7620001e-01
-6.8000002e+00;-4.8179999e-01
-6.5999999e+00;-4.5620000e-01
-6.4000001e+00;-4.3180001e-01
-6.1999998e+00;-4.1220000e-01
-6.0000000e+00;-3.9240000e-01
-5.8000002e+00;-3.7230000e-01
-5.5999999e+00;-3.5120001e-01
-5.4000001e+00;-3.2890001e-01
-5.1999998e+00;-3.0620000e-01
-5.0000000e+00;-2.8369999e-01
-4.8000002e+00;-2.6109999e-01
-4.1999998e+00;-1.9710000e-01
-4.0000000e+00;-1.7620000e-01
-3.8000000e+00;-1.5539999e-01
-3.5999999e+00;-1.3510001e-01
-3.2000000e+00;-9.2600003e-02
-3.0000000e+00;-7.1800001e-02
-2.8000000e+00;-5.2000001e-02
-2.5999999e+00;-3.0400001e-02
-2.2000000e+00;1.2800000e-02
-2.0000000e+00;3.4000002e-02
-1.8000000e+00;5.4499999e-02
-1.6000000e+00;7.4299999e-02
-1.4000000e+00;9.5799997e-02
-1.2000000e+00;1.1730000e-01
-8.0000001e-01;1.5889999e-01
-6.0000002e-01;1.7970000e-01
-4.0000001e-01;2.0100001e-01
0.0000000e+00;2.4439999e-01
2.0000000e-01;2.6470000e-01
4.0000001e-01;2.8490001e-01
6.0000002e-01;3.0480000e-01
8.0000001e-01;3.2539999e-01
1.0000000e+00;3.4670001e-01
1.2000000e+00;3.6710000e-01
1.4000000e+00;3.8810000e-01
1.6000000e+00;4.0790001e-01
1.8000000e+00;4.2829999e-01
2.0000000e+00;4.4740000e-01
2.2000000e+00;4.6810001e-01
2.5999999e+00;5.0599998e-01
2.8000000e+00;5.2450001e-01
3.0000000e+00;5.4629999e-01
3.2000000e+00;5.8319998e-01
3.4000001e+00;6.1979997e-01
3.5999999e+00;6.5300000e-01
4.0000000e+00;6.9730002e-01
4.1999998e+00;7.1259999e-01
4.4000001e+00;7.2790003e-01
4.5999999e+00;7.4059999e-01
4.8000002e+00;7.5819999e-01
5.0000000e+00;7.7649999e-01
5.1999998e+00;7.9479998e-01
5.4000001e+00;8.1309998e-01
5.5999999e+00;8.3170003e-01
5.8000002e+00;8.5039997e-01
6.0000000e+00;8.6930001e-01
6.1999998e+00;8.8819999e-01
6.4000001e+00;9.0710002e-01
6.5999999e+00;9.2589998e-01
6.8000002e+00;9.4410002e-01
7.0000000e+00;9.6179998e-01
7.1999998e+00;9.7979999e-01
7.4000001e+00;9.9760002e-01
7.5999999e+00;1.0151000e+00
7.8000002e+00;1.0322000e+00
8.3999996e+00;1.0807000e+00
8.8000002e+00;1.1390001e+00
9.1999998e+00;1.1743000e+00
9.8000002e+00;1.2250000e+00
1.0200000e+01;1.2564000e+00
1.0400000e+01;1.2711000e+00
1.0600000e+01;1.2849000e+00
1.0800000e+01;1.2967000e+00
1.1000000e+01;1.3178000e+00
1.1400000e+01;1.3417000e+00
1.1600000e+01;1.3516001e+00
1.1800000e+01;1.3600000e+00
1.2000000e+01;1.3641000e+00
1.2400000e+01;1.3728000e+00
1.2600000e+01;1.3733000e+00
1.2800000e+01;1.3753999e+00
1.3000000e+01;1.3772000e+00
1.3200000e+01;1.3776000e+00
1.3400000e+01;1.3755000e+00
1.3600000e+01;1.3671000e+00
1.3800000e+01;1.3622000e+00
1.4000000e+01;1.4085886e+00
1.5000000e+01;1.4257303e+00
1.6000000e+01;1.4345503e+00
1.7000000e+01;1.4363915e+00
1.8000000e+01;1.4326546e+00
1.9000000e+01;1.4247007e+00
2.0000000e+01;1.4137790e+00
2.1000000e+01;1.4009792e+00
2.2000000e+01;1.3872098e+00
2.3000000e+01;1.3731955e+00
2.4000000e+01;1.3594878e+00
2.5000000e+01;1.3464835e+00
2.6000000e+01;1.3344489e+00
2.7000000e+01;1.3235426e+00
2.8000000e+01;1.3138376e+00
2.9000000e+01;1.3053417e+00
3.0000000e+01;1.2980137e+00
3.1000000e+01;1.2917775e+00
3.2000000e+01;1.2865329e+00
3.3000000e+01;1.2821641e+00
3.4000000e+01;1.2785472e+00
3.5000000e+01;1.2755536e+00
3.6000000e+01;1.2730550e+00
3.7000000e+01;1.2709252e+00
3.8000000e+01;1.2690421e+00
3.9000000e+01;1.2672890e+00
4.0000000e+01;1.2655551e+00
4.1000000e+01;1.2637360e+00
4.2000000e+01;1.2617339e+00
4.3000000e+01;1.2594576e+00
4.4000000e+01;1.2568222e+00
4.5000000e+01;1.2537495e+00
4.6000000e+01;1.2501668e+00
4.7000000e+01;1.2460074e+00
4.8000000e+01;1.2412106e+00
4.9000000e+01;1.2357200e+00
5.0000000e+01;1.2294852e+00
5.1000000e+01;1.2224597e+00
5.2000000e+01;1.2146019e+00
5.3000000e+01;1.2058747e+00
5.4000000e+01;1.1962447e+00
5.5000000e+01;1.1856825e+00
5.6000000e+01;1.1741627e+00
5.7000000e+01;1.1616631e+00
5.8000000e+01;1.1481651e+00
5.9000000e+01;1.1336533e+00
6.0000000e+01;1.1181158e+00
6.1000000e+01;1.1015433e+00
6.2000000e+01;1.0839298e+00
6.3000000e+01;1.0652720e+00
6.4000000e+01;1.0455694e+00
6.5000000e+01;1.0248244e+00
6.6000000e+01;1.0030417e+00
6.7000000e+01;9.8022896e-01
6.8000000e+01;9.5639580e-01
6.9000000e+01;9.3155468e-01
7.0000000e+01;9.0572029e-01
7.1000000e+01;8.7890959e-01
7.2000000e+01;8.5114181e-01
7.3000000e+01;8.2243836e-01
7.4000000e+01;7.9282266e-01
7.5000000e+01;7.6232040e-01
7.6000000e+01;7.3095906e-01
7.7000000e+01;6.9876820e-01
7.8000000e+01;6.6577911e-01
7.9000000e+01;6.3202512e-01
8.0000000e+01;5.9754109e-01
8.1000000e+01;5.6236368e-01
8.2000000e+01;5.2653122e-01
8.3000000e+01;4.9008346e-01
8.4000000e+01;4.5306170e-01
8.5000000e+01;4.1550872e-01
8.6000000e+01;3.7746856e-01
8.7000000e+01;3.3898655e-01
8.8000000e+01;3.0010921e-01
8.9000000e+01;2.6088417e-01
9.0000000e+01;2.2136010e-01
9.1000000e+01;1.8158662e-01
9.2000000e+01;1.4161421e-01
9.3000000e+01;1.0149413e-01
9.4000000e+01;6.1278298e-02
9.5000000e+01;2.1019276e-02
9.6000000e+01;-1.9229893e-02
9.7000000e+01;-5.9415743e-02
9.8000000e+01;-9.9484481e-02
9.9000000e+01;-1.3938209e-01
1.0000000e+02;-1.7905444e-01
