r/R,r (m),dT/dr (N/m),dQ/dr (Nm/m),a,a_prime,phi (deg)
0.04,0.02,0.026826396287121468,0.42958693018541516,0.0,0.0,75.89219762840987
0.0496969696969697,0.02484848484848485,-5.24601061843847,0.6887329201404823,0.0022147168330423736,-1.0046969406104846,86.68126412276126
0.059393939393939395,0.029696969696969697,-7.988928273696695,1.3938460575367881,0.0015071621667281003,4.1175879994596,85.62351250938015
0.06909090909090909,0.034545454545454546,0.4139895446180674,0.7509052019284468,0.001406044846707553,0.37639737209008056,74.87265466009497
0.0787878787878788,0.0393939393939394,2.580295426207632,0.9146567559378179,0.008022202765252473,0.24363061493288832,69.62235982795977
0.08848484848484849,0.04424242424242424,4.3130412306693975,1.08152461754423,0.012288145922441051,0.18773038368065018,65.95772318381917
0.09818181818181818,0.04909090909090909,6.010601638015581,1.2598626130149992,0.015746117694520965,0.15314992393011437,62.78238894901929
0.10787878787878788,0.05393939393939394,7.74059612181889,1.4516100444860007,0.01872927165354352,0.12937182073359868,59.91706248448059
0.11757575757575758,0.05878787878787879,9.532284263921877,1.658039071333754,0.02140005614632722,0.11202793977328435,57.28957119728972
0.1272727272727273,0.06363636363636364,11.402656818860423,1.8802082970151202,0.023854331613996638,0.09885765397827062,54.86079612704205
0.13696969696969696,0.06848484848484848,13.36315675199478,2.1190689482113974,0.026153129720485505,0.08855025501812355,52.60542824195362
0.14666666666666667,0.07333333333333333,15.422188452180094,2.3755041131746086,0.028337109278789758,0.08028810387431758,50.504972006542886
0.15636363636363637,0.07818181818181819,17.586257665665116,2.650346962581529,0.03043413314563784,0.07353391404465356,48.544739579882396
0.16606060606060608,0.08303030303030304,19.860559881734694,2.944390385703396,0.03246358690215856,0.06792061012499745,46.712416527119096
0.17575757575757575,0.08787878787878788,22.24936907852862,3.2583964880444825,0.03443939160567063,0.06318864682102764,44.997288865196786
0.18545454545454546,0.09272727272727273,24.756244035814696,3.5931004827481345,0.03637155780971002,0.05914997341769604,43.389846412069225
0.19515151515151516,0.09757575757575758,27.38414333008425,3.949211881863701,0.03826713940320217,0.055665960377502176,41.88155653361183
0.20484848484848486,0.10242424242424243,30.135612437508335,4.327423281019063,0.040131508968006206,0.052631343159726,40.46466702456433
0.21454545454545457,0.10727272727272728,33.01283360452782,4.728410791158667,0.041968652629718495,0.049965288637638904,39.13212151703431
0.22424242424242424,0.11212121212121212,36.01763476890743,5.152832269633367,0.043781341513592975,0.04760551309952628,37.87750130852131
0.23393939393939395,0.11696969696969697,39.1516417901763,5.601336775428355,0.045571863548690944,0.04550222176487287,36.69492014556202
0.24363636363636365,0.12181818181818183,42.416251351115626,6.074561298977081,0.04734190700672869,0.04361585465553291,35.57900103474431
0.2533333333333333,0.12666666666666665,45.812705074127535,6.573135274859558,0.04909284800787954,0.04191423221538926,34.5248161200674
0.263030303030303,0.1315151515151515,49.34201962650131,7.097674485286214,0.05082558074876819,0.04037182970879007,33.527874982187285
0.2727272727272727,0.13636363636363635,53.00515362135328,7.648793001876542,0.05254100586222744,0.03896697470486337,32.584043857307464
0.2824242424242424,0.1412121212121212,56.80293031393648,8.227096874828113,0.05423980236183405,0.037681907020848976,31.689541985421194
0.2921212121212121,0.14606060606060606,60.736077072134144,8.833186689972003,0.055922538364327166,0.03650178086307872,30.840903427073552
0.3018181818181818,0.1509090909090909,64.80523852794592,9.46765822822901,0.05758969928526689,0.03541409690151491,30.034949082579583
0.31151515151515147,0.15575757575757573,69.01098771693286,10.13110303217217,0.05924170822086014,0.03440826040958899,29.268761119975395
0.32121212121212117,0.16060606060606059,73.35387372327799,10.824111930547673,0.06087899015446429,0.033474990583834116,28.539652789972568
0.3309090909090909,0.16545454545454544,77.83427802494717,11.547263415665533,0.06250178122718247,0.03260702918659925,27.84517481776412
0.3406060606060606,0.1703030303030303,82.45264770365125,12.30114191090595,0.06411044266407384,0.03179743327619088,27.183054071070945
0.3503030303030303,0.17515151515151514,87.20935147396865,13.0863262465613,0.06570525816502013,0.03104040016135978,26.551204257749575
0.36,0.18,92.1047221226163,13.903392862139226,0.0672864901916253,0.03033087193439223,25.94770277595975
0.3696969696969697,0.18484848484848485,97.1390609965727,14.75291603742176,0.06885438219575261,0.029664419156886942,25.370776207075224
0.3793939393939394,0.1896969696969697,102.31264191585501,15.635468091211198,0.07040915994056521,0.029037145464640687,24.81878716005205
0.3890909090909091,0.19454545454545455,107.62571460040606,16.551619551881007,0.07195103214433402,0.028445608861484742,24.290222345948028
0.39878787878787875,0.19939393939393937,113.0785076865329,17.501939303176307,0.07348019061161119,0.027886756411456798,23.783681769590405
0.40848484848484845,0.20424242424242423,118.67123139690901,18.48699470812827,0.07499680996739103,0.027357869751592843,23.297868933816677
0.41818181818181815,0.20909090909090908,124.4041442752849,19.507357236047437,0.07650107446178486,0.026856275746508843,22.83157551884244
0.42787878787878786,0.21393939393939393,130.2772993156075,20.56358064323776,0.07799306583962577,0.026380288276409355,22.38369931315515
0.43757575757575756,0.21878787878787878,136.29092777641816,21.656233630896768,0.07947293189727096,0.02592769624628375,21.953197600460825
0.44727272727272727,0.22363636363636363,142.445187758191,22.785878354358,0.0809407701628562,0.02549672818095302,21.5391069700316
0.45696969696969697,0.22848484848484849,148.74022877443213,23.953075807776948,0.08239665562964857,0.025085778764786307,21.140530626611863
0.4666666666666666,0.2333333333333333,155.17619326733782,25.15838585251787,0.08384063900227433,0.024693388416704813,20.756632919066735
0.4763636363636363,0.23818181818181816,161.75321804031742,26.402367232419788,0.0852727447011902,0.024318225652593763,20.38663436352844
