Velocity (m/s),Thrust (N),Torque (Nm),Power (W),Efficiency,CT,CP,J,Thrust_per_unit_Area
58.0,-546.8269382367454,-27.11151049090422,-14195.553697657884,0.0,-0.1569337514072292,-0.06110968587958591,0.8699999999999999,-1087.8776279523072
59.0,-575.2377136725885,-29.403988574074358,-15395.892415091703,0.0,-0.1650873540514444,-0.06627696033282461,0.8849999999999999,-1144.39906979841
60.0,-603.9026793001534,-31.74703952933823,-16622.71102643229,0.0,-0.17331390668690624,-0.07155822667628696,0.8999999999999999,-1201.426206963238
61.0,-632.816965646899,-34.1453702849065,-17878.47407352758,0.0,-0.181612011824684,-0.07696409438540253,0.9149999999999999,-1258.9493519389762
62.0,-662.0091707743992,-36.598452148033864,-19162.904733503463,0.0,-0.1899898768166324,-0.0824933717800691,0.9299999999999999,-1317.025398761404
63.0,-691.5649269450055,-39.1059082556995,-20475.805681343663,0.0,-0.19847207724824772,-0.08814520940629446,0.945,-1375.8247074035387
64.0,-721.3671784754724,-41.66966666766362,-21818.186446777916,0.0,-0.20702501933288428,-0.09392395313504523,0.96,-1435.1144029828115
65.0,-751.4168395068884,-44.28692195867762,-23188.578112581017,0.0,-0.2156489654197065,-0.09982327950250118,0.975,-1494.8963041251334
66.0,-781.7687466884275,-46.95942129000973,-24587.89549025378,0.0,-0.2243596530674696,-0.10584712663215115,0.9899999999999999,-1555.2795048777377
67.0,-812.3489760605213,-49.686841316406486,-26015.969276617405,0.0,-0.23313586685410367,-0.11199476569972415,1.005,-1616.1169381958964
68.0,-843.1671456755295,-52.471809679885475,-27474.175301815,0.0,-0.24198036706249249,-0.11827211944340002,1.02,-1677.4277385868088
69.0,-874.224437129846,-55.31563313111872,-28963.19777889846,0.0,-0.25089349279874407,-0.12468213329564068,1.035,-1739.214256761811
70.0,-905.5456613078738,-58.214810069127815,-30481.203273882842,0.0,-0.2598823645335097,-0.1312169146037686,1.0499999999999998,-1801.5258524070923
71.0,-784.9443356682676,-30.18939157331648,-15807.128463846111,0.0,-0.22527101470071453,-0.06804726857841915,1.065,-1561.597138419859
72.0,-814.150099258537,-32.44136532602367,-16986.2591634431,0.0,-0.23365277083312602,-0.07312324576099548,1.0799999999999998,-1619.7001589469173
73.0,-843.8803847191591,-34.76448781886498,-18202.64325625968,0.0,-0.24218505939006477,-0.07835959309933216,1.095,-1678.8466825793064
74.0,-873.8642296852192,-37.143812871784554,-19448.454940718726,0.0,-0.25079011693772235,-0.08372262171546645,1.1099999999999999,-1738.4976468199252
75.0,-904.1353248815714,-39.582888492001246,-20725.551949055847,0.0,-0.2594776123703489,-0.08922032886232587,1.125,-1798.7200772362348
76.0,-934.64293303928,-42.08494564496914,-22035.6260108268,0.0,-0.26823298460948725,-0.09485999717670975,1.14,-1859.4130352388593
77.0,-965.3546726137046,-44.641710449819065,-23374.344932139047,0.0,-0.27704694048224937,-0.10062297722700163,1.155,-1920.5120997916174
78.0,-996.2505639374914,-47.26109536137833,-24745.851664652135,0.0,-0.28591374602797903,-0.10652710378597059,1.17,-1981.9775226092509
79.0,-1027.3584177577932,-49.93964245735484,-26148.335644487815,0.0,-0.29484138264732584,-0.11256458265324792,1.1849999999999998,-2043.864631415265
80.0,-1058.6714776049732,-52.6744132238063,-27580.25826934382,0.0,-0.30382791130244763,-0.11872879038142269,1.2,-2106.1599846404033
81.0,-1090.2952039335055,-55.47355315322801,-29045.88450911734,0.0,-0.3129035980676514,-0.12503808701310076,1.2149999999999999,-2169.0733891925433
82.0,-1122.3802188509273,-58.342870983543364,-30548.255811872823,0.0,-0.32211166995084006,-0.1315055655166719,1.23,-2232.9044982336045
83.0,-1154.8220402896789,-61.278914012627446,-32085.56434700517,0.0,-0.33142214166476747,-0.13812344345808983,1.2449999999999999,-2297.4454512946286
84.0,-853.0920255626327,1.9232059979444267,1006.9883057470063,-71.16242536113899,-0.24482870631580655,0.004334930525377737,1.26,-1697.1726597571314
