X,Y
0,0
0.0247,0
0.0987,0
0.2219,0
0.3943,0
0.6156,0
0.8856,0
1.2042,0
1.5708,0
1.9853,0
2.4472,0
2.956,0
3.5112,0
4.1123,0
4.7586,0
5.4497,0
6.1847,0
6.9629,0
7.7836,0
8.646,0
9.5492,0
10.4922,0
11.4743,0
12.4944,0
13.5516,0
14.6447,0
15.7726,0
16.9344,0
18.1288,0
19.3546,0
20.6107,0
21.8958,0
23.2087,0
24.5479,0
25.9123,0
27.3005,0
28.711,0
30.1426,0
31.5938,0
33.0631,0
34.5492,0
36.0504,0
37.5655,0
39.0928,0
40.6309,0
42.1783,0
43.7333,0
45.2946,0
46.8605,0
48.4295,0
50,0
51.5705,0
53.1395,0
54.7054,0
56.2667,0
57.8217,0
59.3691,0
60.9072,0
62.4345,0
63.9496,0
65.4508,0
66.9369,0
68.4062,0
69.8574,0
71.289,0
72.6995,0
74.0877,0
75.4521,0
76.7913,0
78.1042,0
79.3893,0
80.6454,0
81.8712,0
83.0656,0
84.2274,0
85.3553,0
86.4484,0
87.5056,0
88.5257,0
89.5078,0
90.4508,0
91.354,0
92.2164,0
93.0371,0
93.8153,0
94.5503,0
95.2414,0
95.8877,0
96.4888,0
97.044,0
97.5528,0
98.0147,0
98.4292,0
98.7958,0
99.1144,0
99.3844,0
99.6057,0
99.7781,0
99.9013,0
99.9753,0
100,0
