X,Y
0,0
0.0062,0.0934
0.0621,0.079101
0.1677,0.08634
0.3228,0.09933
0.5274,0.117429
0.7813,0.140249
1.0844,0.167698
1.4364,0.19958
1.837,0.235774
2.2858,0.27605
2.7825,0.320212
3.3266,0.368028
3.9176,0.419336
4.555,0.473806
5.2382,0.531182
5.9664,0.591219
6.7391,0.653581
7.5555,0.71805
8.4148,0.784211
9.3161,0.851764
10.2586,0.920439
11.2413,0.98976
12.2633,1.059526
13.3235,1.129257
14.4208,1.198662
15.5542,1.26737
16.7224,1.335037
17.9244,1.401241
19.1588,1.465672
20.4245,1.528023
21.72,1.587831
23.0441,1.644806
24.3953,1.698664
25.7724,1.749042
27.1739,1.795573
28.5982,1.838027
30.044,1.876065
31.5098,1.90951
32.994,1.938054
34.495,1.961429
36.0114,1.979477
37.5416,1.991975
39.084,1.998723
40.6336,1.999871
42.1875,1.997602
43.7489,1.992693
45.3164,1.98504
46.8883,1.974691
48.4631,1.961586
50.0392,1.94568
51.615,1.927017
53.189,1.905688
54.7596,1.881608
56.3252,1.854906
57.8843,1.825592
59.4353,1.793715
60.9767,1.759466
62.5069,1.722755
64.0245,1.68378
65.528,1.642635
67.0158,1.599426
68.4865,1.554247
69.9387,1.507262
71.3709,1.458657
72.7817,1.40849
74.1698,1.356964
75.5338,1.304219
76.8723,1.250427
78.184,1.195721
79.4677,1.140351
80.7221,1.084432
81.946,1.028157
83.1382,0.97172
84.2975,0.915285
85.4228,0.85904
86.5131,0.803199
87.5672,0.747905
88.5842,0.693409
89.563,0.639856
90.5028,0.58736
91.4026,0.536162
92.2615,0.486465
93.0788,0.438365
93.8536,0.392076
94.5852,0.34773
95.273,0.305493
95.9162,0.265508
96.5142,0.227924
97.0665,0.192798
97.5726,0.160373
98.0319,0.130654
98.444,0.103745
98.8086,0.079838
99.1253,0.058889
99.3937,0.041096
99.6137,0.026411
99.785,0.014984
99.9075,0.006758
99.9811,0.001812
100.0056,0.0419
