X,Y
0,0
0.086,0.1
0.4833,0.215576
1.1907,0.264852
2.2051,0.345645
3.5214,0.452222
5.1324,0.58024
7.0289,0.72535
9.1996,0.882831
11.6313,1.047841
14.3088,1.214975
17.2151,1.378815
20.3313,1.533825
23.6371,1.674616
27.1106,1.795813
30.7289,1.892553
34.468,1.960421
38.3032,1.995646
42.1921,1.998018
46.1143,1.981365
50.0588,1.947593
54.0008,1.896831
57.9155,1.829184
61.7788,1.745692
65.5665,1.647421
69.2554,1.536249
72.8228,1.414028
76.2469,1.283025
79.5069,1.145858
82.583,1.005208
85.4565,0.863991
88.1104,0.725052
90.5287,0.591319
92.6971,0.465538
94.6027,0.35049
96.2343,0.248567
97.5825,0.161925
98.6392,0.092542
99.3984,0.041813
99.8557,0.010962
100,0
