Rotor 1 : vbmrotor_1
Iteration, Elapsed Time, Thrust [N], Torque [Nm], Power [W], Roll_Moment [Nm], Pitch_Moment [Nm], X_Force [N], Y_Force [N]
55, 0, 25.24741, -7.226639, 578.1311, 4.181594e-05, 2.009694e-06, 0.0001400307, 1.934673e-06
56, 0, 25.2475, -7.226662, 578.1329, 4.52241e-05, 2.770839e-06, 0.0001570334, -7.881081e-06
57, 0, 25.24758, -7.226682, 578.1346, 4.895701e-05, 4.11426e-06, 0.000174784, -2.042654e-05
58, 0, 25.24765, -7.226699, 578.1359, 5.266728e-05, 5.283885e-06, 0.0001919496, -3.116506e-05
59, 0, 25.2477, -7.226714, 578.1371, 5.418541e-05, 5.572439e-06, 0.0002010743, -3.838462e-05
60, 0, 25.24777, -7.22673, 578.1384, 5.216997e-05, 4.777113e-06, 0.0001952763, -3.995863e-05
61, 0, 25.24781, -7.226742, 578.1393, 5.064285e-05, 5.336977e-06, 0.0001897156, -4.651242e-05
62, 0, 25.24785, -7.226752, 578.1401, 4.865106e-05, 5.56125e-06, 0.0001807022, -5.05802e-05
63, 0, 25.24788, -7.22676, 578.1408, 4.605194e-05, 6.066293e-06, 0.0001679567, -5.532519e-05
64, 0, 25.24791, -7.226767, 578.1414, 4.323414e-05, 6.820786e-06, 0.0001538023, -6.006896e-05
65, 0, 25.24794, -7.226776, 578.1421, 3.918609e-05, 6.501184e-06, 0.0001324065, -5.835139e-05
66, 0, 25.24798, -7.226787, 578.1429, 3.424116e-05, 5.264488e-06, 0.0001032671, -5.02858e-05
67, 0, 25.24803, -7.226799, 578.1439, 2.962368e-05, 3.189978e-06, 7.535377e-05, -3.768676e-05
68, 0, 25.24807, -7.22681, 578.1448, 2.560881e-05, 1.966559e-07, 5.077476e-05, -2.066095e-05
69, 0, 25.24812, -7.226823, 578.1458, 2.26769e-05, -4.327906e-06, 3.19562e-05, 3.708451e-06
70, 0, 25.24816, -7.226834, 578.1467, 1.93724e-05, -8.639395e-06, 1.170303e-05, 2.766625e-05
71, 0, 25.2482, -7.226844, 578.1475, 1.673346e-05, -1.265717e-05, -5.134667e-06, 5.064487e-05
72, 0, 25.24823, -7.226854, 578.1483, 1.495689e-05, -1.678271e-05, -1.686095e-05, 7.479223e-05
73, 0, 25.24826, -7.226862, 578.1489, 1.368335e-05, -2.075441e-05, -2.546832e-05, 9.795057e-05
74, 0, 25.24829, -7.226871, 578.1496, 1.349037e-05, -2.581546e-05, -2.788502e-05, 0.0001267747
75, 0, 25.24832, -7.226879, 578.1503, 1.286581e-05, -3.097207e-05, -3.124674e-05, 0.0001562996
76, 0, 25.24836, -7.226887, 578.151, 1.291604e-05, -3.647191e-05, -3.07092e-05, 0.000189326
77, 0, 25.24838, -7.226894, 578.1515, 1.323589e-05, -4.140737e-05, -2.772938e-05, 0.0002194311
78, 0, 25.24841, -7.226901, 578.152, 1.370045e-05, -4.624228e-05, -2.341645e-05, 0.0002486186
79, 0, 25.24843, -7.226905, 578.1524, 1.416245e-05, -5.049078e-05, -1.864518e-05, 0.0002746502
80, 0, 25.24844, -7.22691, 578.1528, 1.44247e-05, -5.378703e-05, -1.555446e-05, 0.0002961575
81, 0, 25.24846, -7.226916, 578.1532, 1.443684e-05, -5.612571e-05, -1.293886e-05, 0.0003148936
82, 0, 25.24848, -7.22692, 578.1536, 1.392912e-05, -5.783874e-05, -1.382242e-05, 0.0003297701
83, 0, 25.2485, -7.226924, 578.1539, 1.341792e-05, -5.81112e-05, -1.400662e-05, 0.0003374617
84, 0, 25.24851, -7.226929, 578.1543, 1.27472e-05, -5.72005e-05, -1.54396e-05, 0.0003382394
85, 0, 25.24853, -7.226932, 578.1546, 1.251521e-05, -5.623396e-05, -1.509238e-05, 0.0003374068
86, 0, 25.24854, -7.226936, 578.1548, 1.204111e-05, -5.499064e-05, -1.587817e-05, 0.0003346732
87, 0, 25.24855, -7.226939, 578.1551, 1.132331e-05, -5.370001e-05, -1.923182e-05, 0.0003317508
88, 0, 25.24856, -7.226942, 578.1554, 1.082924e-05, -5.231075e-05, -2.046147e-05, 0.0003284951
89, 0, 25.24858, -7.226945, 578.1556, 1.025084e-05, -5.081996e-05, -2.196637e-05, 0.0003256308
