Angle of Attack [deg];Drag Coefficient Cd [-]
-1.3000000e+01;5.7703570e-02
-1.2000000e+01;3.8178932e-02
-1.1400000e+01;2.1910001e-02
-1.1000000e+01;1.9390000e-02
-1.0800000e+01;1.8209999e-02
-1.0600000e+01;1.7250000e-02
-1.0400000e+01;1.6510000e-02
-1.0000000e+01;1.5720000e-02
-9.8000002e+00;1.5100000e-02
-9.6000004e+00;1.4550000e-02
-9.3999996e+00;1.4050000e-02
-9.1999998e+00;1.3600000e-02
-9.0000000e+00;1.3190000e-02
-8.8000002e+00;1.2790000e-02
-8.6000004e+00;1.2370000e-02
-8.3999996e+00;1.2010000e-02
-8.1999998e+00;1.6969999e-02
-8.0000000e+00;1.6249999e-02
-7.8000002e+00;3.7360001e-02
-7.5999999e+00;3.4929998e-02
-7.4000001e+00;2.9430000e-02
-7.1999998e+00;2.8060000e-02
-7.0000000e+00;2.6960000e-02
-6.8000002e+00;1.2670000e-02
-6.5999999e+00;1.2270000e-02
-6.4000001e+00;1.2000000e-02
-6.1999998e+00;1.1540000e-02
-6.0000000e+00;1.1090000e-02
-5.8000002e+00;1.0710000e-02
-5.5999999e+00;1.0360000e-02
-5.4000001e+00;1.0040000e-02
-5.1999998e+00;9.7500002e-03
-5.0000000e+00;9.4900001e-03
-4.8000002e+00;9.2700003e-03
-4.1999998e+00;8.7099997e-03
-4.0000000e+00;8.5399998e-03
-3.8000000e+00;8.3999997e-03
-3.5999999e+00;8.2999999e-03
-3.2000000e+00;8.1300000e-03
-3.0000000e+00;8.1000002e-03
-2.8000000e+00;8.1500001e-03
-2.5999999e+00;8.1099998e-03
-2.2000000e+00;7.7100000e-03
-2.0000000e+00;7.5900001e-03
-1.8000000e+00;7.6199998e-03
-1.6000000e+00;7.7200001e-03
-1.4000000e+00;7.7300002e-03
-1.2000000e+00;7.7100000e-03
-8.0000001e-01;7.7599999e-03
-6.0000002e-01;7.8199999e-03
-4.0000001e-01;7.7900002e-03
0.0000000e+00;7.7399998e-03
2.0000000e-01;7.7599999e-03
4.0000001e-01;7.5699999e-03
6.0000002e-01;7.6199998e-03
8.0000001e-01;7.5099999e-03
1.0000000e+00;7.4300002e-03
1.2000000e+00;7.2499998e-03
1.4000000e+00;7.1999999e-03
1.6000000e+00;7.0699998e-03
1.8000000e+00;7.1500000e-03
2.0000000e+00;7.1299998e-03
2.2000000e+00;7.1700001e-03
2.5999999e+00;7.0400001e-03
2.8000000e+00;7.2100000e-03
3.0000000e+00;7.4300002e-03
3.2000000e+00;7.6600001e-03
3.4000001e+00;8.0100000e-03
3.5999999e+00;8.3200000e-03
4.0000000e+00;8.8499999e-03
4.1999998e+00;9.2300000e-03
4.4000001e+00;9.6199997e-03
4.5999999e+00;1.0260000e-02
4.8000002e+00;1.0520000e-02
5.0000000e+00;1.0690000e-02
5.1999998e+00;1.0870000e-02
5.4000001e+00;1.1050000e-02
5.5999999e+00;1.1250000e-02
5.8000002e+00;1.1470000e-02
6.0000000e+00;1.1690000e-02
6.1999998e+00;1.1930000e-02
6.4000001e+00;1.2190000e-02
6.5999999e+00;1.2460000e-02
6.8000002e+00;1.2800000e-02
7.0000000e+00;1.3190000e-02
7.1999998e+00;1.3560000e-02
7.4000001e+00;1.3940000e-02
7.5999999e+00;1.4350000e-02
7.8000002e+00;1.4790000e-02
8.3999996e+00;1.6360000e-02
8.8000002e+00;1.4740000e-02
9.1999998e+00;1.5470000e-02
9.8000002e+00;1.6659999e-02
1.0200000e+01;1.7560000e-02
1.0400000e+01;1.8050000e-02
1.0600000e+01;1.8580001e-02
1.0800000e+01;1.9140000e-02
1.1000000e+01;1.9050000e-02
1.1400000e+01;2.0070000e-02
1.1600000e+01;2.0740001e-02
1.1800000e+01;2.1490000e-02
1.2000000e+01;2.2340000e-02
1.2400000e+01;2.4370000e-02
1.2600000e+01;2.5710000e-02
1.2800000e+01;2.7100001e-02
1.3000000e+01;2.8600000e-02
1.3200000e+01;3.0260000e-02
1.3400000e+01;3.2120001e-02
1.3600000e+01;3.4460001e-02
1.3800000e+01;3.6809999e-02
1.4000000e+01;4.4188116e-02
1.5000000e+01;5.4131761e-02
1.6000000e+01;6.5820642e-02
1.7000000e+01;7.9257809e-02
1.8000000e+01;9.4405718e-02
1.9000000e+01;1.1119454e-01
2.0000000e+01;1.2953155e-01
2.1000000e+01;1.4931001e-01
2.2000000e+01;1.7041686e-01
2.3000000e+01;1.9273868e-01
2.4000000e+01;2.1616590e-01
2.5000000e+01;2.4059549e-01
2.6000000e+01;2.6593232e-01
2.7000000e+01;2.9208961e-01
2.8000000e+01;3.1898877e-01
2.9000000e+01;3.4655869e-01
3.0000000e+01;3.7473509e-01
3.1000000e+01;4.0345943e-01
3.2000000e+01;4.3267816e-01
3.3000000e+01;4.6234187e-01
3.4000000e+01;4.9240443e-01
3.5000000e+01;5.2282238e-01
3.6000000e+01;5.5355448e-01
3.7000000e+01;5.8456105e-01
3.8000000e+01;6.1580372e-01
3.9000000e+01;6.4724505e-01
4.0000000e+01;6.7884839e-01
4.1000000e+01;7.1057749e-01
4.2000000e+01;7.4239659e-01
4.3000000e+01;7.7427012e-01
4.4000000e+01;8.0616271e-01
4.5000000e+01;8.3803904e-01
4.6000000e+01;8.6986399e-01
4.7000000e+01;9.0160245e-01
4.8000000e+01;9.3321943e-01
4.9000000e+01;9.6467996e-01
5.0000000e+01;9.9594915e-01
5.1000000e+01;1.0269923e+00
5.2000000e+01;1.0577749e+00
5.3000000e+01;1.0882624e+00
5.4000000e+01;1.1184208e+00
5.5000000e+01;1.1482161e+00
5.6000000e+01;1.1776148e+00
5.7000000e+01;1.2065834e+00
5.8000000e+01;1.2350892e+00
5.9000000e+01;1.2630996e+00
6.0000000e+01;1.2905828e+00
6.1000000e+01;1.3175071e+00
6.2000000e+01;1.3438420e+00
6.3000000e+01;1.3695570e+00
6.4000000e+01;1.3946224e+00
6.5000000e+01;1.4190094e+00
6.6000000e+01;1.4426898e+00
6.7000000e+01;1.4656361e+00
6.8000000e+01;1.4878217e+00
6.9000000e+01;1.5092210e+00
7.0000000e+01;1.5298088e+00
7.1000000e+01;1.5495614e+00
7.2000000e+01;1.5684557e+00
7.3000000e+01;1.5864699e+00
7.4000000e+01;1.6035827e+00
7.5000000e+01;1.6197745e+00
7.6000000e+01;1.6350262e+00
7.7000000e+01;1.6493202e+00
7.8000000e+01;1.6626399e+00
7.9000000e+01;1.6749697e+00
8.0000000e+01;1.6862955e+00
8.1000000e+01;1.6966041e+00
8.2000000e+01;1.7058837e+00
8.3000000e+01;1.7141238e+00
8.4000000e+01;1.7213149e+00
8.5000000e+01;1.7274488e+00
8.6000000e+01;1.7325189e+00
8.7000000e+01;1.7365195e+00
8.8000000e+01;1.7394463e+00
8.9000000e+01;1.7412965e+00
9.0000000e+01;1.7420685e+00
9.1000000e+01;1.7417619e+00
9.2000000e+01;1.7403777e+00
9.3000000e+01;1.7379181e+00
9.4000000e+01;1.7343869e+00
9.5000000e+01;1.7297889e+00
9.6000000e+01;1.7241304e+00
9.7000000e+01;1.7174188e+00
9.8000000e+01;1.7096630e+00
9.9000000e+01;1.7008730e+00
1.0000000e+02;1.6910603e+00
1.0100000e+02;1.6802374e+00
1.0200000e+02;1.6684180e+00
